numero,enunciado,A,B,C,D,E,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,ANO,TP_LINGUA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL
47.0,"Um dos problemas ambientais vivenciados pela
agricultura hoje em dia é a compactação do solo, devida
ao intenso tráfego de máquinas cada vez mais pesadas,
reduzindo a produtividade das culturas.
Uma das formas de prevenir o problema de compactação
do solo é substituir os pneus dos tratores por pneus mais","largos, reduzindo a pressão sobre o solo.
","estreitos, reduzindo a pressão sobre o solo.
","largos, aumentando a pressão sobre o solo.
","estreitos, aumentando a pressão sobre o solo.
","altos, reduzindo a pressão sobre o solo.",47.0,CN,13481.0,A,19.0,0.0,,2718,0.371,172.0,AZUL,141.0,2012.0,,,
48.0,"O milho transgênico é produzido a partir da
manipulação do milho original, com a transferência,
para este, de um gene de interesse retirado de outro
organismo de espécie diferente.
A característica de interesse será manifestada em
decorrência
","do incremento do DNA a partir da duplicação do gene
transferido.
","da transcrição do RNA transportador a partir do gene
transferido.
","da expressão de proteínas sintetizadas a partir do
DNA não hibridizado.
","da síntese de carboidratos a partir da ativação do
DNA do milho original.
","da tradução do RNA mensageiro sintetizado a partir
do DNA recombinante.",48.0,CN,14970.0,E,11.0,0.0,,2232,1.766,215.0,AZUL,141.0,2012.0,,,
49.0,"A produção mundial de alimentos poderia se
reduzir a 40% da atual sem a aplicação de controle
sobre as pragas agrícolas. Por outro lado, o uso
frequente dos agrotóxicos pode causar contaminação
em solos, águas superficiais e subterrâneas, atmosfera
e alimentos. Os biopesticidas, tais como a piretrina e
a coronopilina, têm sido uma alternativa na diminuição
dos prejuízos econômicos, sociais e ambientais
gerados pelos agrotóxicos.

Img
Img

Identifique as funções orgânicas presentes
simultaneamente nas estruturas dos dois biopesticidas
apresentados:
","Éter e éster.
","Cetona e éster.
","Álcool e cetona.
","Aldeído e cetona.
",Éter e ácido carboxílico.,49.0,CN,13100.0,B,24.0,0.0,,3122,1.118,0.15,AZUL,141.0,2012.0,,,
50.0,"Os carrinhos de brinquedo podem ser de vários tipos.
Dentre eles, há os movidos a corda, em que uma mola
em seu interior é comprimida quando a criança puxa o
carrinho para trás. Ao ser solto, o carrinho entra em
movimento enquanto a mola volta à sua forma inicial.
O processo de conversão de energia que ocorre no
carrinho descrito também é verificado em
"," um dínamo.
","um freio de automóvel.
","um motor a combustão.
","uma usina hidroelétrica.
",uma atiradeira (estilingue).,50.0,CN,8039.0,E,23.0,0.0,,1073,-0.203,206.0,AZUL,141.0,2012.0,,,
51.0,"Pesticidas são contaminantes ambientais
altamente tóxicos aos seres vivos e, geralmente,
com grande persistência ambiental. A busca por
novas formas de eliminação dos pesticidas tem
aumentado nos últimos anos, uma vez que as
técnicas atuais são economicamente dispendiosas e
paliativas. A biorremediação de pesticidas utilizando
microrganismos tem se mostrado uma técnica muito
promissora para essa finalidade, por apresentar
vantagens econômicas e ambientais.
Para ser utilizado nesta técnica promissora, um
microrganismo deve ser capaz de
","transferir o contaminante do solo para a água.
","absorver o contaminante sem alterá-lo quimicamente.
","apresentar alta taxa de mutação ao longo das gerações.
","estimular o sistema imunológico do homem contra o
contaminante.
","metabolizar o contaminante, liberando subprodutos
menos tóxicos ou atóxicos.",51.0,CN,10549.0,E,4.0,0.0,,1589,0.266,101.0,AZUL,141.0,2012.0,,,
52.0,"Medidas de saneamento básico são fundamentais
no processo de promoção de saúde e qualidade de vida
da população. Muitas vezes, a falta de saneamento está
relacionada com o aparecimento de várias doenças.
Nesse contexto, um paciente dá entrada em um pronto
atendimento relatando que há 30 dias teve contato com
águas de enchente. Ainda informa que nesta localidade
não há rede de esgoto e drenagem de águas pluviais e que
a coleta de lixo é inadequada. Ele apresenta os seguintes
sintomas: febre, dor de cabeça e dores musculares.
Disponível em: Lnk
Relacionando os sintomas apresentados com as
condições sanitárias da localidade, há indicações de que
o paciente apresenta um caso de
","difteria.
","botulismo.
","tuberculose.
","leptospirose.
",meningite meningocócica.,52.0,CN,13470.0,D,10.0,0.0,,1027,-0.639,193.0,AZUL,141.0,2012.0,,,
53.0,"O rótulo de um desodorante aerossol informa ao
consumidor que o produto possui em sua composição
os gases isobutano, butano e propano, dentre outras
substâncias. Além dessa informação, o rótulo traz, ainda,
a inscrição “Não contém CFC”. As reações a seguir, que
ocorrem na estratosfera, justificam a não utilização de
CFC (clorofluorcarbono ou Freon) nesse desodorante:

Leitura da equação química: CF2Cℓ2, na presença
de radiação ultravioleta, formando radical CF2Cℓ mais radical Cℓ. 
Leitura da equação química: radical Cℓ mais O3, formando O2mais radical CℓO.
A preocupação com as possíveis ameaças à camada
de ozônio (O3) baseia-se na sua principal função: proteger
a matéria viva na Terra dos efeitos prejudiciais dos raios
solares ultravioleta. A absorção da radiação ultravioleta
pelo ozônio estratosférico é intensa o suficiente para
eliminar boa parte da fração de ultravioleta que é
prejudicial à vida.
A finalidade da utilização dos gases isobutano, butano e
propano neste aerossol é","substituir o CFC, pois não reagem com o ozônio,
servindo como gases propelentes em aerossóis.
.","servir como propelentes, pois, como são muito
reativos, capturam o Freon existente livre na
atmosfera, impedindo a destruição do ozônio.
","reagir com o ar, pois se decompõem espontaneamente
em dióxido de carbono (CO2) e água (H2O), que nãoatacam o ozônio.
","Impedir a destruição do ozônio pelo CFC, pois os
hidrocarbonetos gasosos reagem com a radiação UV,
liberando hidrogênio (H2), que reage com o oxigêniodo ar (O2), formando água (H2O).

","destruir o CFC, pois reagem com a radiação UV,
liberando carbono (C), que reage com o oxigênio do
ar (O2), formando dióxido de carbono (CO2), que é inofensivo para a camada de ozônio",53.0,CN,14952.0,A,19.0,0.0,,1962,0.736,177.0,AZUL,141.0,2012.0,,,
54.0,"Em um dia de chuva muito forte, constatou-se
uma goteira sobre o centro de uma piscina coberta,
formando um padrão de ondas circulares. Nessa
situação, observou-se que caíam duas gotas a cada
segundo. A distância entre duas cristas consecutivas
era de 25 cm e cada uma delas se aproximava da
borda da piscina com velocidade de 1,0 m/s. Após
algum tempo a chuva diminuiu e a goteira passou a
cair uma vez por segundo.
Com a diminuição da chuva, a distância entre as cristas
e a velocidade de propagação da onda se tornaram,
respectivamemente,
","maior que 25 cm e maior que 1,0 m/s.
","maior que 25 cm e igual a 1,0 m/s.
","menor que 25 cm e menor que 1,0 m/s.
","menor que 25 cm e igual a 1,0 m/s.
","igual a 25 cm e igual a 1,0 m/s.",54.0,CN,11971.0,B,1.0,0.0,,2275,0.957,0.15,AZUL,141.0,2012.0,,,
55.0,"O mecanismo que permite articular uma porta (de
um móvel ou de acesso) é a dobradiça. Normalmente,
são necessárias duas ou mais dobradiças para que a
porta seja fixada no móvel ou no portal, permanecendo
em equilíbrio e podendo ser articulada com facilidade.
No plano, o diagrama vetorial das forças que as
dobradiças exercem na porta está representado em",Img,Img,Img,Img,Img,55.0,CN,11088.0,D,6.0,0.0,,2214,2.17,68.0,AZUL,141.0,2012.0,,,
56.0,"A figura representa um dos modelos de um
sistema de interações entre seres vivos. Ela apresenta
duas propriedades, P1 e P2, que interagem em I, para
afetar uma terceira propriedade, P3, quando o sistema
é alimentado por uma fonte de energia, E. Essa
figura pode simular um sistema de campo em que P1
representa as plantas verdes; P2 um animal herbívoro
e P3, um animal onívoro.


A função interativa I representa a proporção de","herbivoria entre P1 e P2
","polinização entre P1 e P2
","P3 utilizada na alimentação de P1 e P2
","P1 ou P2 utilizada na alimentação de P3
",energia de P1 e de P2 que saem do sistema.,56.0,CN,8987.0,D,15.0,0.0,,1887,0.897,279.0,AZUL,141.0,2012.0,,,
57.0,"Muitas espécies de plantas lenhosas são
encontradas no cerrado brasileiro. Para a sobrevivência
nas condições de longos períodos de seca e queimadas
periódicas, próprias desse ecossistema, essas plantas
desenvolveram estruturas muito peculiares.
As estruturas adaptativas mais apropriadas para a
sobrevivência desse grupo de plantas nas condições
ambientais do referido ecossistema são:
","Cascas finas e sem sulcos ou fendas.
","Caules estreitos e retilíneos.
","Folhas estreitas e membranosas.
","Gemas apicais com densa pilosidade.
","Raízes superficiais, em geral, aéreas.",57.0,CN,12242.0,D,28.0,0.0,,1175,2.965,163.0,AZUL,141.0,2012.0,,,
58.0,"A própolis é um produto natural conhecido por suas
propriedades anti-inflamatórias e cicatrizantes. Esse
material contém mais de 200 compostos identificados até
o momento. Dentre eles, alguns são de estrutura simples,
como é o caso do C6H5CO2CH2CH3, cuja estrutura está
mostrada a seguir

Descrição da estrutura química: um anel
aromático faz uma ligação simples com um
carbono, que, por sua vez, faz uma ligação dupla
com um oxigênio e uma ligação simples com
outro oxigênio, que faz uma ligação simples com
o grupo CH2CH3.
O ácido carboxílico e o álcool capazes de produzir o
éster em apreço por meio da reação de esterificação são,
respectivamente,","ácido benzoico e etanol.
","ácido propanoico e hexanol.
","ácido fenilacético e metanol.
"," ácido propiônico e cicloexanol.
",ácido acético e álcool benzílico..,58.0,CN,13701.0,A,25.0,0.0,,1651,0.811,262.0,AZUL,141.0,2012.0,,,
59.0,"No Japão, um movimento nacional para a promoção da
luta contra o aquecimento global leva o slogan: 1 pessoa,
1 dia, 1 kg de CO2

a menos! A ideia é cada pessoa reduzir

em 1 kg a quantidade de CO2

emitida todo dia, por meio de
pequenos gestos ecológicos, como diminuir a queima de
gás de cozinha.
Disponível em: Lnk
Considerando um processo de combustão completa de
um gás de cozinha composto exclusivamente por butano
(C4H10), a mínima quantidade desse gás que um japonês
deve deixar de queimar para atender à meta diária,
apenas com esse gesto, é de
Dados: CO2

(44 g/mol); C4H10 (58 g/mol)

","0,25 kg.
","0,33 kg.
","1,0 kg.
","1,3 kg.
","3,0 kg.",59.0,CN,9749.0,B,26.0,0.0,,3558,1.372,206.0,AZUL,141.0,2012.0,,,
60.0,"Para melhorar a mobilidade urbana na rede metroviária é necessário minimizar o tempo entre estações. Para isso
a administração do metrô de uma grande cidade adotou o seguinte procedimento entre duas estações: a locomotiva
parte do repouso com aceleração constante por um terço do tempo de percurso, mantém a velocidade constante por
outro terço e reduz sua velocidade com desaceleração constante no trecho final, até parar.
Qual é o gráfico de posição (eixo vertical) em função do tempo (eixo horizontal) que representa o movimento
desse trem?",Img,Img,img,Img,Img,60.0,CN,10925.0,C,17.0,0.0,,3419,1.315,165.0,AZUL,141.0,2012.0,,,
61.0,"A eficiência das lâmpadas pode ser comparada
utilizando a razão, considerada linear, entre a quantidade
de luz produzida e o consumo. A quantidade de luz é
medida pelo fluxo luminoso, cuja unidade é o lúmen (lm).
O consumo está relacionado à potência elétrica da
lâmpada que é medida em watt (W). Por exemplo,
uma lâmpada incandescente de 40 W emite cerca de
600 lm, enquanto uma lâmpada fluorescente de 40 W
emite cerca de 3 000 lm.
Disponível em: Lnk
A eficiência de uma lâmpada incandescente de 40 W é
","maior que a de uma lâmpada fluorescente de 8 W,
que produz menor quantidade de luz.
","maior que a de uma lâmpada fluorescente de 40 W,
que produz menor quantidade de luz.
","menor que a de uma lâmpada fluorescente de 8 W,
que produz a mesma quantidade de luz.
","menor que a de uma lâmpada fluorescente de 40 W,
pois consome maior quantidade de energia.
","igual a de uma lâmpada fluorescente de 40 W, que
consome a mesma quantidade de energia.",61.0,CN,10813.0,C,23.0,0.0,,1738,1.226,145.0,AZUL,141.0,2012.0,,,
62.0,"Não é de hoje que o homem cria, artificialmente,
variedades de peixes por meio da hibridação. Esta é uma
técnica muito usada pelos cientistas e pelos piscicultores
porque os híbridos resultantes, em geral, apresentam
maior valor comercial do que a média de ambas as
espécies parentais, além de reduzir a sobrepesca no
ambiente natural.

Sem controle, esses animais podem invadir rios e lagos
naturais, se reproduzir e
","originar uma nova espécie poliploide.
","substituir geneticamente a espécie natural.
","ocupar o primeiro nível trófico no hábitat aquático.
","impedir a interação biológica entre as espécies parentais.
",produzir descendentes com o código genético modificado.,62.0,CN,7859.0,B,12.0,0.0,,1532,2.288,184.0,AZUL,141.0,2012.0,,,
63.0,"Há milhares de anos o homem faz uso da
biotecnologia para a produção de alimentos como
pães, cervejas e vinhos. Na fabricação de pães, por
exemplo, são usados fungos unicelulares, chamados
de leveduras, que são comercializados como fermento
biológico. Eles são usados para promover o crescimento
da massa, deixando-a leve e macia.
O crescimento da massa do pão pelo processo citado é
resultante da
","liberação de gás carbônico.
","formação de ácido lático.
","formação de água.
","produção de ATP.
",liberação de calor.,63.0,CN,7530.0,A,29.0,0.0,,3042,0.65,229.0,AZUL,141.0,2012.0,,,
64.0,"Alguns povos indígenas ainda preservam suas
tradições realizando a pesca com lanças, demonstrando
uma notável habilidade. Para fisgar um peixe em um
lago com águas tranquilas o índio deve mirar abaixo da
posição em que enxerga o peixe.
Ele deve proceder dessa forma porque os raios de luz
","refletidos pelo peixe não descrevem uma trajetória
retilínea no interior da água.
","emitidos pelos olhos do índio desviam sua trajetória
quando passam do ar para a água.
","espalhados pelo peixe são refletidos pela superfície
da água.
","emitidos pelos olhos do índio são espalhados pela
superfície da água.
","refletidos pelo peixe desviam sua trajetória quando
passam da água para o ar.",64.0,CN,7520.0,E,18.0,0.0,,3262,0.865,132.0,AZUL,141.0,2012.0,,,
65.0,"Os vegetais biossintetizam determinadas
substâncias (por exemplo, alcaloides e flavonoides), cuja
estrutura química e concentração variam num mesmo
organismo em diferentes épocas do ano e estágios
de desenvolvimento. Muitas dessas substâncias são
produzidas para a adaptação do organismo às variações
ambientais (radiação UV, temperatura, parasitas,
herbívoros, estímulo a polinizadores etc.) ou fisiológicas
(crescimento, envelhecimento etc.).
As variações qualitativa e quantitativa na produção
dessas substâncias durante um ano são possíveis porque
o material genético do indivíduo
","sofre constantes recombinações para adaptar-se.
","muda ao longo do ano e em diferentes fases da vida.
","cria novos genes para biossíntese de substâncias
específicas.
","altera a sequência de bases nitrogenadas para criar
novas substâncias.
","possui genes transcritos diferentemente de acordo
com cada necessidade.",65.0,CN,11471.0,E,13.0,0.0,,3167,1.289,0.13,AZUL,141.0,2012.0,,,
66.0,"O benzeno é um hidrocarboneto aromático presente
no petróleo, no carvão e em condensados de gás natural.
Seus metabólitos são altamente tóxicos e se depositam
na medula óssea e nos tecidos gordurosos. O limite de
exposição pode causar anemia, câncer (leucemia) e
distúrbios do comportamento. Em termos de reatividade
química, quando um eletrófilo se liga ao benzeno, ocorre
a formação de um intermediário, o carbocátion. Por fim,
ocorre a adição ou substituição eletrofílica.
Disponível em: Lnk
Img
Disponível em: Lnk
Com base no texto e no gráfico do progresso da reação
apresentada, as estruturas químicas encontradas em
I, II e III são, respectivamente:
",Img,Img,Img,Img,Img,66.0,CN,12313.0,A,25.0,0.0,,1491,2.311,163.0,AZUL,141.0,2012.0,,,
67.0,"O manual que acompanha uma ducha higiênica
informa que a pressão mínima da água para o seu
funcionamento apropriado é de 20 kPa. A figura mostra a
instalação hidráulica com a caixa d’água e o cano ao qual
deve ser conectada a ducha.
Img
O valor da pressão da água na ducha está associado
à altura","h1.
","h2.
","h3.
","h4.
",h5.,67.0,CN,14165.0,C,18.0,0.0,,2553,1.767,242.0,AZUL,141.0,2012.0,,,
68.0,"O menor tamanduá do mundo é solitário e tem
hábitos noturnos, passa o dia repousando, geralmente
em um emaranhado de cipós, com o corpo curvado
de tal maneira que forma uma bola. Quando em
atividade, se locomove vagarosamente e emite som
semelhante a um assobio. A cada gestação, gera um
único filhote. A cria é deixada em uma árvore à noite
e é amamentada pela mãe até que tenha idade para
procurar alimento. As fêmeas adultas têm territórios
grandes e o território de um macho inclui o de várias
fêmeas, o que significa que ele tem sempre diversas
pretendentes à disposição para namorar!

Essa descrição sobre o tamanduá diz respeito ao seu
","hábitat.
","biótopo.
","nível trófico.
","nicho ecológico.
",potencial biótico.,68.0,CN,7394.0,D,14.0,0.0,,1166,1.513,169.0,AZUL,141.0,2012.0,,,
69.0,"Uma dona de casa acidentalmente deixou cair na
geladeira a água proveniente do degelo de um peixe,
o que deixou um cheiro forte e desagradável dentro do
eletrodoméstico. Sabe-se que o odor característico de
peixe se deve às aminas e que esses compostos se
comportam como bases.
Na tabela são listadas as concentrações
hidrogeniônicas de alguns materiais encontrados na
cozinha, que a dona de casa pensa em utilizar na limpeza
da geladeira.
Descrição da tabela: tabela dividida em duas colunas. A primeira coluna indica o material. A segunda é a concentração de hidrônio em mols por litros.
Suco de limão:  dez elevado a menos dois mols por litro de hidrônio.
Leite: dez elevado a menos seis mols por litro de hidrônio
Vinagre: dez elevado a menso três mols por litro de hidrônio
Álcool: dez elevado a menos oito mols por litro de hidrônio
Sabão: dez elevado a menos doze mols por litro de hidrônio
Carbonato de sódio/barrilha: dez elevado a menos doze mols por litro de hidrônio.
Dentre os materiais listados, quais são apropriados para
amenizar esse odor?
","Álcool ou sabão.
","Suco de limão ou álcool.
","Suco de limão ou vinagre.
","Suco de limão, leite ou sabão.
",Sabão ou carbonato de sódio/barrilha.,69.0,CN,13577.0,C,19.0,0.0,,2555,0.753,161.0,AZUL,141.0,2012.0,,,
70.0,"Em uma planície, ocorreu um acidente ambiental
em decorrência do derramamento de grande
quantidade de um hidrocarboneto que se apresenta na
forma pastosa à temperatura ambiente. Um químico
ambiental utilizou uma quantidade apropriada de
uma solução de para-dodecil-benzenossulfonato de
sódio, um agente tensoativo sintético, para diminuir os
impactos desse acidente.
Essa intervenção produz resultados positivos para o
ambiente porque
","promove uma reação de substituição no
hidrocarboneto, tornando-o menos letal ao ambiente.
","a hidrólise do para-dodecil-benzenossulfonato de
sódio produz energia térmica suficiente para vaporizar
o hidrocarboneto.
","a mistura desses reagentes provoca a combustão do
hidrocarboneto, o que diminui a quantidade dessa
substância na natureza.
","a solução de para-dodecil-benzenossulfonato
possibilita a solubilização do hidrocarboneto.
","o reagente adicionado provoca uma solidificação do
hidrocarboneto, o que facilita sua retirada do ambiente.",70.0,CN,11473.0,D,27.0,0.0,,1899,2.546,165.0,AZUL,141.0,2012.0,,,
71.0,"Suponha que você seja um consultor e foi contratado
para assessorar a implantação de uma matriz energética
em um pequeno país com as seguintes características:
região plana, chuvosa e com ventos constantes, dispondo
de poucos recursos hídricos e sem reservatórios de
combustíveis fósseis.
De acordo com as características desse país, a matriz
energética de menor impacto e risco ambientais é a
baseada na energia
","dos biocombustíveis, pois tem menor impacto
ambiental e maior disponibilidade.
","solar, pelo seu baixo custo e pelas características do
país favoráveis à sua implantação.
","nuclear, por ter menor risco ambiental e ser adequada
a locais com menor extensão territorial.
","hidráulica, devido ao relevo, à extensão territorial do
país e aos recursos naturais disponíveis.
","eólica, pelas características do país e por não gerar
gases do efeito estufa nem resíduos de operação.",71.0,CN,13755.0,E,26.0,0.0,,2226,-0.365,145.0,AZUL,141.0,2012.0,,,
72.0,"Uma empresa de transportes precisa efetuar a
entrega de uma encomenda o mais breve possível.
Para tanto, a equipe de logística analisa o trajeto desde
a empresa até o local da entrega. Ela verifica que o
trajeto apresenta dois trechos de distâncias diferentes e
velocidades máximas permitidas diferentes. No primeiro
trecho, a velocidade máxima permitida é de 80 km/h e a
distância a ser percorrida é de 80 km. No segundo trecho,
cujo comprimento vale 60 km, a velocidade máxima
permitida é 120 km/h.
Supondo que as condições de trânsito sejam favoráveis
para que o veículo da empresa ande continuamente
na velocidade máxima permitida, qual será o tempo
necessário, em horas, para a realização da entrega?
",0.7,1.4,1.5,2,3,72.0,CN,10698.0,C,20.0,0.0,,1883,0.118,163.0,AZUL,141.0,2012.0,,,
73.0,"Para ligar ou desligar uma mesma lâmpada a partir de dois
interruptores, conectam-se os interruptores para que a mudança
de posição de um deles faça ligar ou desligar a lâmpada, não
importando qual a posição do outro. Esta ligação é conhecida
como interruptores paralelos. Este interruptor é uma chave
de duas posições constituída por um polo e dois terminais,
conforme mostrado nas figuras de um mesmo interruptor. Na
Posição I a chave conecta o polo ao terminal superior, e na
Posição II a chave o conecta ao terminal inferior.
Img
Img

O circuito que cumpre a finalidade de funcionamento
descrita no texto é:",Img,Img,Img,Img,img,73.0,CN,10766.0,E,5.0,0.0,,1849,2.336,155.0,AZUL,141.0,2012.0,,,
74.0,"A característica que permite identificar um planeta
no céu é o seu movimento relativo às estrelas fixas.
Se observarmos a posição de um planeta por vários
dias, verificaremos que sua posição em relação às
estrelas fixas se modifica regularmente. A figura
destaca o movimento de Marte observado em
intervalos de 10 dias, registrado da Terra.
Img
Qual a causa da forma da trajetória do planeta Marte
registrada na figura?
","A maior velocidade orbital da Terra faz com que, em
certas épocas, ela ultrapasse Marte.
","A presença de outras estrelas faz com que
sua trajetória seja desviada por meio da atração
gravitacional.
","A órbita de Marte, em torno do Sol, possui uma forma
elíptica mais acentuada que a dos demais planetas.
"," A atração gravitacional entre a Terra e Marte faz com
que este planeta apresente uma órbita irregular em
torno do Sol.
","A proximidade de Marte com Júpiter, em algumas
épocas do ano, faz com que a atração gravitacional
de Júpiter interfira em seu movimento.",74.0,CN,14971.0,A,20.0,0.0,,2642,2.452,191.0,AZUL,141.0,2012.0,,,
75.0,"Em certos locais, larvas de moscas, criadas em arroz
cozido, são utilizadas como iscas para pesca. Alguns
criadores, no entanto, acreditam que essas larvas surgem
espontaneamente do arroz cozido, tal como preconizado
pela teoria da geração espontânea.
Essa teoria começou a ser refutada pelos cientistas ainda
no século XVII, a partir dos estudos de Redi e Pasteur,
que mostraram experimentalmente que
","seres vivos podem ser criados em laboratório.
","a vida se originou no planeta a partir de microrganismos.
"," o ser vivo é oriundo da reprodução de outro ser vivo
pré-existente.
","seres vermiformes e microrganismos são
evolutivamente aparentados.
","vermes e microrganismos são gerados pela matéria
existente nos cadáveres e nos caldos nutritivos,
respectivamente.",75.0,CN,14939.0,C,3.0,0.0,,1891,1.038,181.0,AZUL,141.0,2012.0,,,
76.0,"Os tubos de PVC, material organoclorado sintético,
são normalmente utilizados como encanamento na
construção civil. Ao final da sua vida útil, uma das formas
de descarte desses tubos pode ser a incineração. Nesse
processo libera-se HCl (g), cloreto de hidrogênio, dentre
outras substâncias. Assim, é necessário um tratamento
para evitar o problema da emissão desse poluente.
Entre as alternativas possíveis para o tratamento, é
apropriado canalizar e borbulhar os gases provenientes
da incineração em
","água dura.
","água de cal.
","água salobra.
","água destilada.
",água desmineralizada.,76.0,CN,7717.0,B,4.0,0.0,,2154,1.158,185.0,AZUL,141.0,2012.0,,,
77.0,"Um consumidor desconfia que a balança do
supermercado não está aferindo corretamente a massa
dos produtos. Ao chegar a casa resolve conferir se a
balança estava descalibrada. Para isso, utiliza um recipiente
provido de escala volumétrica, contendo 1,0 litro d’água.
Ele coloca uma porção dos legumes que comprou dentro
do recipiente e observa que a água atinge a marca de
1,5 litro e também que a porção não ficara totalmente
submersa, com 1/3 de seu volume fora da água. Para
concluir o teste, o consumidor, com ajuda da internet,
verifica que a densidade dos legumes, em questão,
é a metade da densidade da água, onde, rágua = 1g/cm3 .
No supermercado a balança registrou a massa da porção
de legumes igual a 0,500 kg (meio quilograma).
Considerando que o método adotado tenha boa precisão,
o consumidor concluiu que a balança estava descalibrada
e deveria ter registrado a massa da porção de legumes
igual a
.","0,073 kg.
","0,167 kg.
","0,250 kg.
","0,375 kg.
","0,750 kg",77.0,CN,8998.0,D,7.0,0.0,,1425,1.592,201.0,AZUL,141.0,2012.0,,,
78.0,"Os freios ABS são uma importante medida de
segurança no trânsito, os quais funcionam para impedir
o travamento das rodas do carro quando o sistema de
freios é acionado, liberando as rodas quando estão no
limiar do deslizamento. Quando as rodas travam, a força
de frenagem é governada pelo atrito cinético.
As representações esquemáticas da força de atrito f
at
entre os pneus e a pista, em função da pressão p aplicada
no pedal de freio, para carros sem ABS e com ABS,
respectivamente, são:",Img,Img,Img,Img,Img,78.0,CN,13155.0,A,2.0,0.0,,1781,1.583,173.0,AZUL,141.0,2012.0,,,
79.0,"O armazenamento de certas vitaminas no organismo apresenta grande dependência de sua solubilidade.
Por exemplo, vitaminas hidrossolúveis devem ser incluídas na dieta diária, enquanto vitaminas lipossolúveis são
armazenadas em quantidades suficientes para evitar doenças causadas pela sua carência. A seguir são apresentadas
as estuturas químicas de cinco vitaminas necessárias ao organismo.
Img
Img
Img
Img
Img
Dentre as vitaminas apresentadas na figura, aquela que necessita de maior suplementação diária é
","I.
","II.
","III.
","IV.
",V.,79.0,CN,14148.0,C,25.0,0.0,,2904,1.225,293.0,AZUL,141.0,2012.0,,,
80.0,"Descrição da imagem: tirinha com três quadrinhos apresenta o gato Garfield. No primeiro quadrinho,
Garfield, com aparência descontente, olha-se num espelho e, com a mão sobre a barriga, pensa: “Puxa como
estou fora de forma!”. No segundo, retira-se e, decidido, pensa: “Só há uma coisa a fazer!”. No terceiro, retorna
para frente do espelho e, usando um cinto que aperta sua barriga, que transborda para fora do cinto, pensa:
“Se não se pode perder as banhas, amarre-as!”.

A condição física apresentada pelo personagem da tirinha é um fator de risco que pode desencadear doenças como
","anemia.
","beribéri.
","diabetes.
","escorbuto.
",fenilcetonúria.,80.0,CN,7526.0,C,30.0,0.0,,1.57,-0.14,209.0,AZUL,141.0,2012.0,,,
81.0,"Paleontólogos estudam fósseis e esqueletos de
dinossauros para tentar explicar o desaparecimento
desses animais. Esses estudos permitem afirmar que
esses animais foram extintos há cerca de 65 milhões
de anos. Uma teoria aceita atualmente é a de que um
asteroide colidiu com a Terra, formando uma densa
nuvem de poeira na atmosfera.
De acordo com essa teoria, a extinção ocorreu em função
de modificações no planeta que
","desestabilizaram o relógio biológico dos animais,
causando alterações no código genético.
","reduziram a penetração da luz solar até a
superfície da Terra, interferindo no fluxo
energético das teias tróficas.
","causaram uma série de intoxicações nos animais,
provocando a bioacumulação de partículas de poeira
nos organismos.
","resultaram na sedimentação das partículas de poeira
levantada com o impacto do meteoro, provocando o
desaparecimento de rios e lagos.
","evitaram a precipitação de água até a superfície da
Terra, causando uma grande seca que impediu a
retroalimentação do ciclo hidrológico.",81.0,CN,7721.0,B,9.0,0.0,,2306,0.775,111.0,AZUL,141.0,2012.0,,,
